Admin2,Combined Key,Country Region,Last Update,Lat,Long,Province State,Table Name,Active,Case Fatality Ratio,Confirmed,Deaths,Incident Rate,Recovered,Selector
,"Marche, Italy",Italy,2/1/2021,43.61675973,13.5188753,Marche,covid_0.csv,9258,3.543172275,55487,1966,3637.845340271,44263,1966
,"Molise, Italy",Italy,2/1/2021,41.55774754,14.65916051,Molise,covid_0.csv,1159,3.196073737,8354,267,2733.486684314,6928,267
,"P.A. Bolzano, Italy",Italy,2/1/2021,46.49933453,11.35662422,P.A. Bolzano,covid_0.csv,4618,2.173425947,40167,873,7545.677583700,34676,873
,"P.A. Trento, Italy",Italy,2/1/2021,46.06893511,11.12123097,P.A. Trento,covid_0.csv,2469,4.166818033,27527,1147,5084.241750367,23911,1147
,"Piemonte, Italy",Italy,2/1/2021,45.0732745,7.680687483,Piemonte,covid_0.csv,12312,3.965539653,223097,8847,5121.125074201,201938,8847
,"Puglia, Italy",Italy,2/1/2021,41.12559576,16.86736689,Puglia,covid_0.csv,52744,2.597085601,122907,3192,3050.518322792,66971,3192
,"Sardegna, Italy",Italy,2/1/2021,39.21531192,9.110616306,Sardegna,covid_0.csv,15980,2.548200431,38537,982,2350.403240808,21575,982
,"Sicilia, Italy",Italy,2/1/2021,38.11569725,13.3623567,Sicilia,covid_0.csv,42289,2.555417588,136103,3478,2722.119342202,90336,3478
,"Toscana, Italy",Italy,2/1/2021,43.76923077,11.25588885,Toscana,covid_0.csv,9175,3.125185934,134456,4202,3605.065474130,121079,4202
,"Umbria, Italy",Italy,2/1/2021,43.10675841,12.38824698,Umbria,covid_0.csv,5629,2.166375413,36051,781,4087.345453309,29641,781
,"Valle d'Aosta, Italy",Italy,2/1/2021,45.73750286,7.320149366,Valle d'Aosta,covid_0.csv,233,5.181480056,7797,404,6204.542199163,7160,404
,"Veneto, Italy",Italy,2/1/2021,45.43490485,12.33845213,Veneto,covid_0.csv,33945,2.860803690,312185,8931,6363.519990607,269309,8931
,Jamaica,Jamaica,2/1/2021,18.1096,-77.2975,,covid_0.csv,3260,2.235993100,15653,350,528.610230920,12043,350
,"Aichi, Japan",Japan,2/1/2021,35.035551,137.211621,Aichi,covid_0.csv,3173,1.651002246,24046,397,318.395643994,20476,397
,"Akita, Japan",Japan,2/1/2021,39.748679,140.408228,Akita,covid_0.csv,53,0.383141762,261,1,27.004935385,207,1
,"Aomori, Japan",Japan,2/1/2021,40.781541,140.828896,Aomori,covid_0.csv,61,1.813110181,717,13,57.527012422,643,13
,"Chiba, Japan",Japan,2/1/2021,35.510141,140.198917,Chiba,covid_0.csv,6050,1.119770671,22326,250,356.680579648,16026,250
,"Ehime, Japan",Japan,2/1/2021,33.624835,132.856842,Ehime,covid_0.csv,149,1.812688822,993,18,74.147915010,826,18
,"Fukui, Japan",Japan,2/1/2021,35.846614,136.224654,Fukui,covid_0.csv,76,3.696498054,514,19,66.932573896,419,19
,"Fukuoka, Japan",Japan,2/1/2021,33.526032,130.666949,Fukuoka,covid_0.csv,3640,1.149283243,16184,186,317.104582792,12358,186
,"Fukushima, Japan",Japan,2/1/2021,37.378867,140.223295,Fukushima,covid_0.csv,286,2.593659942,1735,45,94.011494869,1404,45
,"Gifu, Japan",Japan,2/1/2021,35.778671,137.055925,Gifu,covid_0.csv,439,1.626213592,4120,67,207.390866849,3614,67
,"Gunma, Japan",Japan,2/1/2021,36.504479,138.985605,Gunma,covid_0.csv,430,1.784328937,3867,69,199.077868430,3368,69
,"Hiroshima, Japan",Japan,2/1/2021,34.605309,132.788719,Hiroshima,covid_0.csv,441,1.868382811,4817,90,171.779456147,4286,90
,"Hokkaido, Japan",Japan,2/1/2021,43.385711,142.552318,Hokkaido,covid_0.csv,1534,3.452230760,17438,602,332.149280892,15302,602
,"Hyogo, Japan",Japan,2/1/2021,35.039913,134.828057,Hyogo,covid_0.csv,2510,2.427360775,16520,401,302.221474190,13609,401
,"Ibaraki, Japan",Japan,2/1/2021,36.303588,140.319591,Ibaraki,covid_0.csv,886,1.306782825,4821,63,168.548341140,3872,63
,"Ishikawa, Japan",Japan,2/1/2021,36.769464,136.771027,Ishikawa,covid_0.csv,115,4.030054645,1464,59,128.686440194,1290,59
,"Iwate, Japan",Japan,2/1/2021,39.593287,141.361777,Iwate,covid_0.csv,24,5.443548387,496,27,40.429860713,445,27
,"Kagawa, Japan",Japan,2/1/2021,34.217292,133.969047,Kagawa,covid_0.csv,171,2.332814930,643,15,67.235009887,457,15
,"Kagoshima, Japan",Japan,2/1/2021,31.009484,130.430665,Kagoshima,covid_0.csv,207,1.294697904,1622,21,101.231188443,1394,21
,"Kanagawa, Japan",Japan,2/1/2021,35.415312,139.338983,Kanagawa,covid_0.csv,4248,1.161366198,40814,474,443.713968760,36092,474
